Condensate_ID,Times (s),x_position (um),y_position (um),Length_of_major_axis (um),Length_of_minor_axis (um),Aspect_ratio,Area (um^2),Angle (degrees)
0,0.045,68.92,5.691,2.80976249702557,2.52645604775399,1.1121359105073,22.3013539996173,44.3237842055814
0,0.135,68.848,5.866,2.42857174262302,2.06443659330677,1.17638475819351,15.750790636917,80.1005618227375
0,0.225,68.833,5.905,2.54374292712165,2.3589015416634,1.07835909307512,18.8509354337741,-60.3216120232718
0,0.315,68.841,5.87,2.63382840743074,2.22974804959109,1.18122242910528,18.4498628831007,-65.1423508745526
0,0.405,68.848,5.837,2.45720274567105,2.10617378200375,1.16666666666667,16.2586718937526,90
0,0.495,68.853,5.82,2.45720274567105,2.10617378200375,1.16666666666667,16.2586718937526,90
0,0.585,68.833,5.833,2.76385740702726,2.1293973613465,1.29795286553731,18.4893744276094,-81.7865144620291
0,0.675,68.898,5.818,2.5110700789662,2.4629147214606,1.01955218225219,19.4293414453805,-8.32251910733801
0,0.765,68.939,5.861,2.50605425906248,2.29839926252925,1.09034766061695,18.0953011857186,-49.7501206576686
0,0.855,68.856,5.901,2.73458643563097,2.4008373847781,1.13901360124135,20.6254899126167,90
0,0.945,68.807,5.898,2.40487479172839,2.04305975996201,1.17709468849463,15.4355963417685,-72.3153068666513
0,1.035,68.803,5.911,2.69636386696487,2.39345297938324,1.12655811089286,20.2746455922581,-82.2368973530834
0,1.125,68.823,5.886,2.45720274567105,2.10617378200375,1.16666666666667,16.2586718937526,90
0,1.215,68.912,5.85,2.69445216988942,2.35480424803942,1.14423615981362,19.9331145251679,89.7259532917305
0,NaN,68.984,6.051,NaN,NaN,NaN,NaN,NaN
0,1.485,68.944,6.019,2.53374600062189,2.32442711792709,1.09005181581321,18.5024347952053,-71.2179086869638
0,1.575,68.885,5.905,2.60804769772163,2.47305822044675,1.05458402724158,20.2628133090518,-28.228140764351
0,1.665,68.929,5.988,2.67380330137227,2.5289706143322,1.05726942267311,21.2433552056582,-48.8115366466206
0,1.755,68.936,6.048,2.78153431872705,2.41951945496875,1.14962262982216,21.1428444133761,81.1117971773208
