Condensate_ID,Times (s),x_position (um),y_position (um),Length_of_major_axis (um),Length_of_minor_axis (um),Aspect_ratio,Area (um^2),Angle (degrees)
220,119.738,63.781,12.468,1.8110026962214,1.63426827352011,1.10814284629084,9.29805946393101,-75.6369346673479
220,NaN,64.07,12.735,NaN,NaN,NaN,NaN,NaN
220,120.574,64.373,12.935,2.31790855836314,1.70151772889194,1.36225942228213,12.3903236348996,53.7686501912344
220,NaN,64.43,12.986,NaN,NaN,NaN,NaN,NaN
220,120.802,64.466,13.012,2.50332036604653,2.40993656680996,1.03874948433194,18.9527361556477,-68.8038543420367
220,NaN,64.56,13.01,NaN,NaN,NaN,NaN,NaN
220,121.03,64.638,13.058,2.48814747665927,1.95075698154865,1.27547792994902,15.248571508122,68.8974983067501
220,121.106,64.562,13.064,2.020867894648,1.68496887474028,1.19935028174303,10.6974355816197,90
220,121.182,64.582,13.167,2.19950228839555,2.00435224831254,1.09736314574811,13.8499542372639,65.1726333464109
220,121.258,64.657,13.241,2.2368883889668,1.91333534434803,1.16910420098314,13.4457577403068,-11.3693596251708
220,121.334,64.677,13.218,2.26030576437586,1.90631262568287,1.18569521804756,13.5366496724062,17.0294201232147
220,121.41,64.746,13.232,2.10829447087016,1.66571441302137,1.26569984289565,11.0326968763829,0
220,121.486,64.816,13.2,2.34587609225281,1.92396776840731,1.2192907442492,14.1792328359091,53.9024363708623
220,NaN,64.911,13.29,NaN,NaN,NaN,NaN,NaN
220,121.714,64.968,13.436,2.17387510863427,1.82439515421605,1.1915593524849,12.4595791277852,25.4990243232859
220,NaN,65.021,13.464,NaN,NaN,NaN,NaN,NaN
220,122.398,65.115,13.497,2.16521198334641,1.88063718031838,1.15131829042104,12.7924966703705,60.1574014814393
220,122.474,65.077,13.546,2.18743504804507,1.85766776741479,1.1775168231988,12.7659483994804,60.8419584754464
220,122.55,65.01,13.545,2.70672392684551,2.26650611579214,1.19422749755057,19.2730625099531,68.868159495113
220,122.626,65.034,13.489,2.30417151600123,1.58209549591102,1.45640482635621,11.4524227348916,84.5325301920215
220,122.702,65.039,13.469,2.6545034517495,2.21414475101494,1.19888433244155,18.4645690861407,72.6482595995375
220,122.778,65.058,13.492,2.61835488365617,1.81575743358137,1.44201798942482,14.9360656081152,81.8617588631605
220,122.854,65.061,13.628,2.09100994122364,1.94892383871241,1.07290490253591,12.8026784536701,61.3187537921428
220,122.93,65.106,13.663,2.44839555853313,1.78101670416644,1.37471790848758,13.6993338172243,-89.460924564557
220,123.006,65.132,13.654,2.10688890504972,1.61567664863204,1.30402881469729,10.6941422585451,81.4833944455701
220,123.082,65.196,13.719,2.19460139358341,1.72682650280846,1.27088702311099,11.9056806402553,-89.5193758069876
220,123.158,65.282,13.677,2.27039013823751,1.47385842993007,1.54043976825185,10.5125030346665,89.2435184808607
220,123.234,65.19,13.698,2.26109260614889,1.28921156085456,1.75385691131262,9.15782655373382,82.2322400234513
220,123.31,65.072,13.793,2.25123191249578,1.61944454825353,1.39012596320361,11.4534464865493,62.4272277830518
220,123.386,65.084,13.779,2.1564647939267,1.94747682105947,1.10731217471104,13.1936373448928,72.1119611410527
220,123.462,65.29,13.752,2.2636918548205,1.60090398453856,1.41400850811985,11.3849850961185,-82.5621589991806
220,123.538,65.358,13.744,2.34506977610542,1.66778488177089,1.40609847333271,12.2869948092917,85.5991458383961
220,123.614,65.288,13.738,2.14702828806443,1.62351768278192,1.32245451394497,10.9507701218332,85.0483364019656
220,NaN,65.237,13.769,NaN,NaN,NaN,NaN,NaN
220,123.994,65.121,13.76,2.14702828806443,1.62351768278192,1.32245451394497,10.9507701218332,-85.0483364019656
220,124.07,65.043,13.753,2.25480048250951,1.50517294285932,1.49803415827164,10.6621403391155,87.936628115975
220,124.146,65.036,13.699,2.28222920103308,1.71387658861833,1.33161816678582,12.288211479719,81.9366613458805
220,124.222,65.05,13.681,1.96368853080669,1.6273935262511,1.20664639445278,10.0395688017153,70.9942448649918
220,124.298,64.972,13.74,1.96368853080669,1.6273935262511,1.20664639445278,10.0395688017153,70.9942448649918
220,124.374,64.966,13.753,2.35829196786444,1.4668801085329,1.60769237659312,10.8678106710636,64.1195528081685
220,124.45,65.032,13.759,2.0076016859575,1.30438608987049,1.53911614172214,8.22685008172034,74.8717814182354
220,124.526,64.961,13.759,1.92134432005977,1.62330284988376,1.18360188931926,9.79838781557713,80.4579175012228
220,124.602,64.992,13.744,2.53949848319424,1.62359759536121,1.5641181598506,12.9531749081677,83.3082030096087
220,124.678,64.991,13.676,1.8305869013429,1.59075427727568,1.15076660644154,9.14836161122142,-80.0417970030954
220,124.754,64.995,13.659,2.38963257999729,2.21726857042576,1.07773709142435,16.6455942604124,56.5007972141603
220,124.83,65.09,13.797,2.14801172491455,1.59150336567755,1.3496746354665,10.7397477681308,90
220,124.906,65.127,13.784,2.29242853663665,1.27991331494166,1.79108109109807,9.21777781636137,87.7395210502093
220,124.982,65.159,13.71,2.14702828806443,1.62351768278192,1.32245451394497,10.9507701218332,-85.0483364019656
220,125.058,65.155,13.835,1.95066008656899,1.29453085453122,1.50684711742569,7.93311731231642,90
220,125.134,65.195,13.891,2.14702828806443,1.62351768278192,1.32245451394497,10.9507701218332,-85.0483364019656
220,125.21,65.245,13.835,2.2636918548205,1.60090398453856,1.41400850811985,11.3849850961185,-82.5621589991806
220,125.286,65.296,13.84,2.35466674074178,1.72011023097682,1.3689045610784,12.7243498461502,87.5331471742966
220,125.362,65.29,13.894,1.78990353557578,1.64022329103218,1.09125601700815,9.22321798719471,45
