Condensate_ID,Times (s),x_position (um),y_position (um),Length_of_major_axis (um),Length_of_minor_axis (um),Aspect_ratio,Area (um^2),Angle (degrees)
0,0.038,12.653,21.084,3.20216015848469,2.57419397636489,1.24394672191976,25.89608978267,50.4372956772068
0,0.114,12.619,21.133,2.7372514193534,2.70469462817751,1.01203714121244,23.2585588171826,-32.6680926437683
0,0.19,12.626,21.155,2.86117562871202,2.83360722863349,1.00972908305708,25.4702988999441,-24.779975043706
0,0.266,12.599,21.167,2.83787130473169,2.46377294498644,1.15183962487554,21.9656091294451,-87.7098940154557
0,0.342,12.573,21.191,3.02286344872817,2.51678428001686,1.20108166310857,23.9009076959798,66.1180713145437
0,0.418,12.585,21.13,2.95271170569999,2.43961777945728,1.2103173417423,22.6304249019713,81.7312634483869
0,0.494,12.625,21.119,2.92983365251802,2.69374709934685,1.08764243429846,24.7941746254223,27.4376222805518
0,0.57,12.635,21.125,2.92983365251802,2.69374709934685,1.08764243429846,24.7941746254223,27.4376222805518
0,0.646,12.656,21.129,3.00194728002681,2.79693785815155,1.07329781077466,26.3776287200647,48.2648550438568
0,0.722,12.712,21.149,2.88285027007936,2.60551802916224,1.10644034614733,23.5975025599111,79.6397827119876
0,0.798,12.633,21.125,3.01173665142599,2.57268053962554,1.17066095266704,24.3418021554217,35.0575972938433
0,0.874,12.537,21.125,2.75539211009775,2.52594697042294,1.09083529557883,21.86540429602,52.978609607364
0,0.95,12.597,21.139,2.99279245509788,2.69863130398213,1.10900383119461,25.3728952703195,57.1652527774382
0,1.026,12.636,21.119,2.76747954762691,2.61062978368401,1.06008119761874,22.6975813393354,77.4185065759817
0,1.102,12.672,21.114,2.88698187740487,2.52147510168646,1.14495751930049,22.8690758247241,5.02571295728757
0,1.178,12.673,21.08,3.32546299730802,2.50402727020014,1.32804583915024,26.1601992044092,42.908560565294
0,1.254,12.72,21.082,2.8052308661331,2.66281135008218,1.05348464360666,23.4670706571364,21.5695294669935
0,1.33,12.737,21.085,3.20216015848469,2.57419397636489,1.24394672191976,25.89608978267,50.4372956772068
0,1.406,12.668,21.072,2.67015290934759,2.58895789773765,1.03136204404131,21.7175581497055,75.4608354709089
0,1.482,12.65,21.092,2.91591354844028,2.69511443999862,1.08192568937509,24.6888992497438,30.3356743054662
0,1.558,12.599,21.086,2.76682338905348,2.48027507947023,1.11553085863543,21.5591264960031,61.4064782023231
0,1.634,12.654,21.108,3.02712326290871,2.75794211415338,1.09760217496007,26.2279969736437,47.4443547232389
0,1.71,12.692,21.122,3.20216015848469,2.57419397636489,1.24394672191976,25.89608978267,50.4372956772068
0,1.786,12.645,21.126,2.94591824980456,2.67682168478498,1.10052838653733,24.7736504424104,37.647004993067
0,1.862,12.671,21.129,3.03349768731633,2.70621889428193,1.12093581702719,25.7903040825944,55.5565698649085
0,1.938,12.705,21.123,2.75739166464254,2.43558498318048,1.13212705928324,21.0985018771069,38.4574700318839
0,2.014,12.659,21.084,2.88114425833307,2.52419829659205,1.14140963577344,22.8474821071726,27.6408656747371
0,2.09,12.646,21.099,2.97588079229486,2.68923206876531,1.1065912930531,25.1416446891042,44.9753035494312
0,2.166,12.669,21.122,2.9883942842535,2.62429667751771,1.13874102339686,24.637730499992,50.5610104103922
0,2.242,12.661,21.113,2.87970537383458,2.53699697891411,1.13508427395414,22.9518596521464,17.435773180879
0,2.318,12.676,21.153,2.88679872563796,2.8030146732745,1.02989069346026,25.4209483838689,-43.8119723909968
0,2.394,12.676,21.15,3.11746673795861,2.68836736158293,1.15961337074224,26.3293607673537,49.8774582479072
0,2.47,12.673,21.172,2.93937135903626,2.62313841305373,1.12055518855156,24.2228666365268,45.5763889353504
0,2.546,12.619,21.154,2.92523225165253,2.48312911614275,1.17804274962412,22.8196788439181,57.3491806990657
0,2.622,12.589,21.098,2.65627529068997,2.40325309816448,1.10528320663301,20.0549907464781,64.9873940316375
0,2.698,12.585,21.112,2.90647658071329,2.44225817572105,1.19007753136303,22.3001750806138,52.8154599915051
0,2.774,12.523,21.113,2.68571099564776,2.49821870036511,1.07505039300813,21.0784952787467,43.0967961021357
0,2.85,12.598,21.105,2.98037877413175,2.44427627071353,1.21932975001297,22.8860912951421,55.5650208620999
0,2.926,12.633,21.114,2.92983365251802,2.69374709934685,1.08764243429846,24.7941746254223,27.4376222805518
0,3.002,12.614,21.137,2.88606686388847,2.52919212208544,1.14110226688068,22.9317966321156,39.5724946078242
0,3.078,12.596,21.093,2.73361993528258,2.37056717181613,1.1531501692012,20.3582419525021,51.107604026468
0,3.154,12.619,21.085,2.97697025935535,2.6864631429639,1.1081373914071,25.1249528418357,34.0857159136683
0,3.23,12.593,21.074,3.03952677254505,2.38078306016331,1.27669203608016,22.7339902563058,55.2582099379514
0,3.306,12.57,21.04,2.61851503818722,2.43862953653966,1.07376499749233,20.0609167077821,25.5867235414458
0,3.382,12.645,21.084,2.92815806729921,2.74341486866078,1.06734059829916,25.2368925009742,37.9633119110492
0,3.458,12.676,21.094,2.87136053935208,2.55922892114588,1.12196314898882,23.0858960224186,57.1708461462305
0,3.534,12.734,21.111,3.24033642665206,2.54331327253619,1.27406106893816,25.8904639758132,41.5104974546431
0,3.61,12.635,21.115,3.07091688010649,2.65794643057834,1.15537199876458,25.6427240069098,54.4962250203128
0,3.686,12.624,21.096,2.95081835698225,2.66147383581825,1.10871589916459,24.6725791194115,29.5992770119316
0,3.762,12.63,21.112,3.01836370630392,2.64384480352871,1.1416569165767,25.0701770395646,40.4802585983225
0,3.838,12.556,21.104,3.12857750729207,2.47023100847956,1.26651211832116,24.27919931611,52.1660441186038
0,3.914,12.592,21.065,2.87801458078479,2.48373625576637,1.15874403898685,22.4568242118376,38.3892900207795
0,3.99,12.593,21.074,2.62630011840213,2.26906975471202,1.15743472096804,18.7215616734632,73.7705939775902
0,4.066,12.633,21.107,3.10180177738681,2.65225002499307,1.16949825550286,25.845109431655,28.6608813126088
0,4.142,12.66,21.114,2.63214850469882,2.45061543034278,1.07407652465922,20.2644781722054,23.2628385061906
0,4.218,12.634,21.111,3.02203411041265,2.57518203565054,1.1735225194087,24.4487786589335,34.872556238735
0,4.294,12.648,21.124,2.85212733316945,2.50512398920497,1.13851743285354,22.4464677746909,-2.477498287595
0,4.37,12.716,21.125,2.98629157938536,2.4866962979921,1.20090723655987,23.3294677215738,22.9960309541048
0,4.446,12.731,21.106,2.75123798974034,2.47688845840384,1.11076378122949,21.4084133697794,45
0,4.522,12.713,21.112,2.7836673164955,2.46193043531975,1.13068479781557,21.5299479712927,13.8695783588076
0,4.598,12.655,21.119,3.16016689416771,2.64542550770345,1.19457791760355,26.2636709486435,40.8655836079782
0,4.674,12.64,21.14,2.84145305108618,2.70951032940266,1.04869615009462,24.1869534268419,-39.2425719552311
0,4.75,12.66,21.117,2.9899582648294,2.56360320205007,1.1663108637243,24.0805168623853,24.0112368377518
0,4.826,12.655,21.127,2.7240583705806,2.57045738106106,1.05975628720837,21.9976703490042,-20.0554406764231
0,4.902,12.714,21.15,2.96217190722622,2.7780860190889,1.06626356666871,25.8526948699657,42.1375947738882
