Condensate_ID,Times (s),x_position (um),y_position (um),Length_of_major_axis (um),Length_of_minor_axis (um),Aspect_ratio,Area (um^2),Angle (degrees)
1,0.038,7.586,33.121,2.0702679933837,1.31585280573851,1.57332794698248,8.55822601171633,-79.9264871268404
1,0.114,7.608,33.102,1.92134432005977,1.62330284988376,1.18360188931926,9.79838781557713,80.4579175012228
1,0.19,7.658,33.086,1.96850152843602,1.60802265186653,1.22417524787419,9.94438182837752,-86.4917491276386
1,0.266,7.645,33.088,1.96368853080669,1.6273935262511,1.20664639445278,10.0395688017153,70.9942448649918
1,0.342,7.61,33.092,1.96850152843602,1.60802265186653,1.22417524787419,9.94438182837752,-86.4917491276386
1,0.418,7.61,33.103,2.02814090961408,1.57275682971539,1.28954512947885,10.0209657496437,86.5195184868757
1,0.494,7.635,33.07,1.89690897387109,1.61118742110097,1.17733601257567,9.60157384464637,83.8676131360538
1,0.57,7.636,33.097,1.96873428612928,1.43068381399693,1.37607923348849,8.84872383636758,-77.6592181080227
1,0.646,7.624,33.112,2.04726548084835,1.59326223947826,1.28495198726279,10.2473436308529,79.7752261946037
1,0.722,7.638,33.098,1.83790205306571,1.44885422798469,1.26852102686836,8.36559678409884,-83.6378221572888
1,0.798,7.661,33.081,2.1832844221975,1.57270781188259,1.3882327064835,10.787187628753,83.7685752825326
1,0.874,7.656,33.031,2.0076016859575,1.30438608987049,1.53911614172214,8.22685008172033,-74.8717814182354
1,0.95,7.623,32.965,2.1832844221975,1.57270781188259,1.3882327064835,10.787187628753,83.7685752825326
1,1.026,7.614,32.983,1.98344576543231,1.63872304115197,1.21036057687821,10.2111760198755,-77.508421496345
1,1.102,7.563,32.95,1.8020271970721,1.5687395314782,1.14871026127204,8.8810037750873,-73.889366594203
1,1.178,7.546,32.945,1.84279321408805,1.52980744408692,1.20459161132396,8.8565228388697,9.7452652539877
1,1.254,7.584,33.018,2.02764098478968,1.72723157322619,1.17392538222444,11.0025031584285,68.7536038712861
1,1.33,7.595,33.032,2.07603849567676,1.74447652083064,1.19006387927093,11.3775932487299,-43.965942188428
1,1.406,7.584,33.063,1.92950023614912,1.46539948445278,1.31670596081153,8.8828175750465,-83.2284116787776
1,1.482,7.581,33.076,1.99816487010613,1.62035868140676,1.23316207271551,10.1716721179342,-90
1,1.558,7.589,33.015,1.99844073248288,1.55044711790502,1.28894478850926,9.7341515563014,89.8294788605706
1,1.634,7.539,33.011,1.92591671646369,1.5658580612279,1.2299433544784,9.47413934227281,-81.4644893543405
1,1.71,7.504,33.023,1.91623965837518,1.37803157544279,1.39056295408867,8.29581131461311,-81.1937110785381
1,1.786,7.504,32.978,1.85983790581102,1.24707242402963,1.49136318787435,7.28646098086554,-84.4175599112257
1,1.862,7.496,32.979,2.03289299982019,1.57656942626024,1.2894408365145,10.0687948740757,90
1,1.938,7.474,33.002,1.85747068168877,1.29453085453122,1.43486010795888,7.55412638187704,90
1,2.014,7.484,33.03,1.85747068168877,1.29453085453122,1.43486010795888,7.55412638187704,90
1,2.09,7.523,32.996,2.20461724764394,1.23912741864783,1.77916912697298,8.58220808637463,83.4723763881017
1,2.166,7.53,32.943,2.32233580688135,1.20632284330548,1.92513622681458,8.80113014161824,88.3989897083389
1,2.242,7.522,32.971,2.36368589944131,1.00001981752813,2.36363905795778,7.42588541685541,-84.5958845298401
1,2.318,7.498,32.999,2.34402613537198,1.11336756884678,2.1053479560213,8.19881126200882,-87.6078444185208
1,2.394,7.496,33.041,1.91132262725484,1.61324098175391,1.18477192736379,9.68686216004208,-53.6462246999389
1,2.47,7.523,33.079,1.97557792074485,1.55836443649492,1.26772523453392,9.67192822731162,79.2700196347572
1,2.546,7.557,33.117,2.17224031655477,1.92322544164907,1.1294777354298,13.1246562658182,10.1266258936869
